DrugBank_ID,Drug_Name,Gene
DB02424,Geldanamycin,HSP90B1
DB02424,Geldanamycin,HSP90AB1
DB02425,Hexadecyl Octanoate,ethR
DB02426,Carboxyatractyloside,SLC25A4
DB02427,"2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline",DHFR
DB02427,"2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline",
DB02428,Quinaldic Acid,gag-pol
DB02429,4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide,CA2
DB02430,Trehalose-6-Phosphate,treR
DB02431,Cytidine-5'-Triphosphate,P2RY4
DB02431,Cytidine-5'-Triphosphate,kpsU
DB02431,Cytidine-5'-Triphosphate,UCK2
DB02431,Cytidine-5'-Triphosphate,ispD
DB02431,Cytidine-5'-Triphosphate,tagD
DB02431,Cytidine-5'-Triphosphate,ispD
DB02431,Cytidine-5'-Triphosphate,coaBC
DB02431,Cytidine-5'-Triphosphate,cca
DB02431,Cytidine-5'-Triphosphate,rfbF
DB02432,RU90395,SRC
DB02433,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid",kdsA
DB02433,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid",kdsA
DB02434,4-(2-Thienyl)Butyric Acid,tyrB
DB02435,Aminomethylcyclohexane,murA
DB02435,Aminomethylcyclohexane,murA
DB02435,Aminomethylcyclohexane,PRSS1
DB02436,{4-[(2S)-2-({[(1S)-1-Carboxy-2-phenylethyl]carbamoyl}amino)-3-oxo-3-(pentylamino)propyl]phenoxy}malonic acid,PTPN1
